number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_iter,params_n_estimators,params_n_states,params_reg_alpha,params_reg_lambda,params_subsample,params_tol,state
0,0.0,2025-09-25 12:45:20.268941,2025-09-25 12:45:20.314864,0 days 00:00:00.045923,0.9464704583099741,0.01700037298921102,4,97,319,3,6.011150117432088,7.10991852018085,0.6232334448672797,0.0008471801418819979,COMPLETE
1,0.0,2025-09-25 12:45:20.338451,2025-09-25 12:45:20.369204,0 days 00:00:00.030753,0.8099025726528951,0.01855998084649059,4,98,145,2,4.319450186421157,2.983168487960615,0.7216968971838151,0.002136832907235877,COMPLETE
2,0.0,2025-09-25 12:45:20.385066,2025-09-25 12:45:20.415998,0 days 00:00:00.030932,0.8056937753654446,0.04717052037625178,10,31,215,5,5.924145688620425,0.5598590859279775,0.6798695128633439,1.4742753159914662e-05,COMPLETE
3,0.0,2025-09-25 12:45:20.431605,2025-09-25 12:45:20.463176,0 days 00:00:00.031571,0.6390688456025535,0.26690431824362526,11,33,477,5,6.842330265121569,4.457509688022053,0.7218455076693483,1.8205657658407268e-06,COMPLETE
4,0.0,2025-09-25 12:45:20.478935,2025-09-25 12:45:20.510043,0 days 00:00:00.031108,0.8080272084711243,0.024112898115291985,9,60,460,2,5.4671027934327965,1.9300591097027178,0.7246844304357644,1.3726318898045876e-06,COMPLETE
5,0.0,2025-09-25 12:45:20.526733,2025-09-25 12:45:20.558385,0 days 00:00:00.031652,0.6783931449676581,0.0764136186923332,12,82,453,6,0.45227288910538066,3.3207702745563172,0.6353970008207678,0.005727904470799624,COMPLETE
6,0.0,2025-09-25 12:45:20.576772,2025-09-25 12:45:20.610043,0 days 00:00:00.033271,0.9208787923016158,0.026000059117302653,8,41,210,3,0.7455064367977082,9.870180672345121,0.6563696899899051,0.0020651425578959264,COMPLETE
7,0.0,2025-09-25 12:45:20.626777,2025-09-25 12:45:20.661485,0 days 00:00:00.034708,0.6296178606936361,0.11069143219393454,10,36,417,5,3.5846572854427263,1.2471036892987843,0.9085081386743783,1.0521761868451139e-06,COMPLETE
8,0.0,2025-09-25 12:45:20.681300,2025-09-25 12:45:20.715380,0 days 00:00:00.034080,0.8550229885420852,0.028797752657070342,6,70,78,6,8.872127425763265,4.7749277591032975,0.8918424713352255,2.106648601704221e-05,COMPLETE
9,0.0,2025-09-25 12:45:20.731401,2025-09-25 12:45:20.763559,0 days 00:00:00.032158,0.7710164073434198,0.13766134492174428,7,77,303,2,0.2541912674409519,1.168125127233714,0.8090931317527976,0.0011044350847124699,COMPLETE
10,0.0,2025-09-25 12:45:20.780191,2025-09-25 12:45:20.822989,0 days 00:00:00.042798,0.990455959943198,0.010536588309951599,3,95,345,3,9.469618763901494,7.410214892777707,0.983908298378168,0.0002341302275157636,COMPLETE
11,0.0,2025-09-25 12:45:20.842469,2025-09-25 12:45:20.883398,0 days 00:00:00.040929,0.9976161494520414,0.011211905675606836,3,98,76,3,3.146450371186846,7.269969405792567,0.6027514361354958,0.00032732828504275957,COMPLETE
12,0.0,2025-09-25 12:45:20.899561,2025-09-25 12:45:20.941845,0 days 00:00:00.042284,0.8969390138948092,0.01653566893364782,5,89,173,2,3.5689357011275424,6.778659595806545,0.7841438174174152,0.009536898767082866,COMPLETE
13,0.0,2025-09-25 12:45:20.959816,2025-09-25 12:45:21.003108,0 days 00:00:00.043292,0.7326872568254374,0.04039917885693957,5,61,356,4,7.583635489314875,8.942284082021313,0.732365136722726,0.0009599728262507017,COMPLETE
14,0.0,2025-09-25 12:45:21.020036,2025-09-25 12:45:21.062687,0 days 00:00:00.042651,0.9178581456448356,0.015023347845436873,4,88,126,3,4.320002873168433,2.9771728853306496,0.605253815534431,6.916026343688046e-05,COMPLETE
15,0.0,2025-09-25 12:45:21.079155,2025-09-25 12:45:21.122992,0 days 00:00:00.043837,0.8693087163058641,0.01739506464212854,5,99,274,4,2.550570692138961,5.81179682150781,0.7938863093296037,0.002929027276013812,COMPLETE
16,0.0,2025-09-25 12:45:21.139895,2025-09-25 12:45:21.185659,0 days 00:00:00.045764,0.7558658096828579,0.03444164618988499,7,51,242,2,7.163755998306335,3.2713633790533745,0.6807171468064965,0.00046359907122990227,COMPLETE
17,0.0,2025-09-25 12:45:21.204478,2025-09-25 12:45:21.249715,0 days 00:00:00.045237,0.9582419694818943,0.06505157718985512,4,74,165,3,1.7747344841110273,5.952333343475221,0.7503612045585996,6.388414201382266e-05,COMPLETE
18,0.0,2025-09-25 12:45:21.265697,2025-09-25 12:45:21.306678,0 days 00:00:00.040981,0.6966333704707155,0.021009001126407124,6,84,378,2,4.922156355267145,8.613264010562338,0.8322343799163403,0.0001595746434017078,COMPLETE
19,0.0,2025-09-25 12:45:21.323412,2025-09-25 12:45:21.364639,0 days 00:00:00.041227,0.8345856301792302,0.013842510951473014,3,21,304,4,5.963089090685653,3.8771876741389857,0.6971328325248957,0.0008328104936744722,COMPLETE
20,0.0,2025-09-25 12:45:21.381238,2025-09-25 12:45:21.423155,0 days 00:00:00.041917,0.9514508026332132,0.03387776088930084,4,67,120,3,8.624808991805706,2.285561210801473,0.6422684164238962,0.0031376649283944274,COMPLETE
21,0.0,2025-09-25 12:45:21.442675,2025-09-25 12:45:21.486895,0 days 00:00:00.044220,0.8279621902518962,0.04869545415061698,9,51,201,5,6.19330480889154,0.2380899437677867,0.6604880197116956,1.078863061399055e-05,COMPLETE
22,0.0,2025-09-25 12:45:21.503585,2025-09-25 12:45:21.557522,0 days 00:00:00.053937,0.7740944781959846,0.04799698839653821,12,27,256,4,4.984172041931467,0.47240725190215394,0.6969008687169277,1.6769327639919503e-05,COMPLETE
23,0.0,2025-09-25 12:45:21.577132,2025-09-25 12:45:21.624875,0 days 00:00:00.047743,0.8759430451660999,0.09101168775234647,10,92,225,5,7.973378203494244,2.2196938098093395,0.7485202093651706,4.873498422065464e-06,COMPLETE
24,0.0,2025-09-25 12:45:21.640941,2025-09-25 12:45:21.685274,0 days 00:00:00.044333,0.7939275602754168,0.18637369945981044,8,46,146,4,6.54364235383882,5.619424750570794,0.6824859323663828,3.204953261942517e-05,COMPLETE
25,0.0,2025-09-25 12:45:21.700966,2025-09-25 12:45:21.743252,0 days 00:00:00.042286,0.6980806602306825,0.019663934862575203,6,82,301,6,4.297558132934262,1.310697539531718,0.6364497222741674,5.261051207364316e-06,COMPLETE
26,0.0,2025-09-25 12:45:21.758970,2025-09-25 12:45:21.803472,0 days 00:00:00.044502,0.8091187576050651,0.01276143990501849,10,59,53,2,5.931372159164537,4.062453083669824,0.7666663517958366,0.0004609860616299869,COMPLETE
27,0.0,2025-09-25 12:45:21.821485,2025-09-25 12:45:21.863109,0 days 00:00:00.041624,0.7191228355930689,0.05981213998160413,4,20,186,5,4.416836166131589,8.030484961579015,0.8436194387993202,0.0001286304492840837,COMPLETE
28,0.0,2025-09-25 12:45:21.879033,2025-09-25 12:45:21.921014,0 days 00:00:00.041981,0.8377499814912582,0.033533354667765546,11,100,102,3,5.423712182276632,6.38567972529988,0.6197094512278798,0.0013654437222717685,COMPLETE
29,0.0,2025-09-25 12:45:21.936522,2025-09-25 12:45:21.978591,0 days 00:00:00.042069,0.6730854621408249,0.298253743490514,11,28,333,2,6.622672567826405,5.146303963563783,0.7184433788997833,6.749963006933491e-06,COMPLETE
30,0.0,2025-09-25 12:45:21.994113,2025-09-25 12:45:22.041995,0 days 00:00:00.047882,0.9016435339315336,0.023316157894036467,9,35,498,5,2.370088886214864,2.7308557504090705,0.668083738652851,4.230418798784028e-05,COMPLETE
31,0.0,2025-09-25 12:45:22.062944,2025-09-25 12:45:22.108214,0 days 00:00:00.045270,0.6087566059280534,0.29075981171751786,11,31,430,5,6.964867909872028,4.44417355912436,0.7126205390205238,2.443635541178351e-06,COMPLETE
32,0.0,2025-09-25 12:45:22.124909,2025-09-25 12:45:22.168129,0 days 00:00:00.043220,0.6455813833890727,0.17962704328643356,12,46,396,6,5.534966207562758,4.0780300765547945,0.7357900914092839,1.8932179169297797e-06,COMPLETE
33,0.0,2025-09-25 12:45:22.183887,2025-09-25 12:45:22.225670,0 days 00:00:00.041783,0.8033070943660818,0.07701946104313157,10,40,488,4,7.7478970381413115,3.532382175685921,0.7032576656722314,2.913063653683003e-06,COMPLETE
34,0.0,2025-09-25 12:45:22.241448,2025-09-25 12:45:22.284744,0 days 00:00:00.043296,0.7442412837129125,0.026474525207510362,11,57,461,5,5.3181472261280796,5.0944867290625275,0.6507090183735171,0.003411136048176385,COMPLETE
35,0.0,2025-09-25 12:45:22.301127,2025-09-25 12:45:22.344553,0 days 00:00:00.043426,0.9487986509206706,0.1344051662297524,8,34,224,6,4.721680908173619,1.7909174319722034,0.769121587482435,0.006783214270623841,COMPLETE
36,0.0,2025-09-25 12:45:22.360291,2025-09-25 12:45:22.409096,0 days 00:00:00.048805,0.653369168324546,0.233778264980152,9,25,137,5,8.491251209281684,0.8760628599246107,0.6256698420338351,1.123236893831898e-06,COMPLETE
37,0.0,2025-09-25 12:45:22.425219,2025-09-25 12:45:22.468027,0 days 00:00:00.042808,0.7819005933421624,0.10057533769125969,7,39,435,3,3.705262584084545,9.570895075084275,0.6759784549574134,9.644108278520494e-06,COMPLETE
38,0.0,2025-09-25 12:45:22.489559,2025-09-25 12:45:22.534338,0 days 00:00:00.044779,0.8588349154934625,0.04218729462902054,12,78,272,4,6.97165810520577,4.619140799070625,0.9903656703775232,0.00178395895883307,COMPLETE
39,0.0,2025-09-25 12:45:22.550372,2025-09-25 12:45:22.593771,0 days 00:00:00.043399,0.6041790936033968,0.028460707445997244,6,93,165,2,9.38640842608137,1.6502428314648303,0.8259892643053965,2.043337359803274e-05,COMPLETE
40,0.0,2025-09-25 12:45:22.608958,2025-09-25 12:45:22.651945,0 days 00:00:00.042987,0.8890253031487925,0.01924093924610803,5,86,468,6,1.05238609897431,2.580672465723815,0.9640160150363126,0.0005928170270208432,COMPLETE
41,0.0,2025-09-25 12:45:22.671238,2025-09-25 12:45:22.716869,0 days 00:00:00.045631,0.8163108728836685,0.011683312492641817,9,68,411,2,6.376140242933288,0.9090216962859783,0.7259641432798984,1.1445950055762374e-06,COMPLETE
42,0.0,2025-09-25 12:45:22.733346,2025-09-25 12:45:22.777922,0 days 00:00:00.044576,0.7610426305105509,0.02353664668592369,10,96,450,2,5.615706907021569,1.8079527043439245,0.7630570841254215,3.633822105533197e-06,COMPLETE
43,0.0,2025-09-25 12:45:22.793541,2025-09-25 12:45:22.835992,0 days 00:00:00.042451,0.8478927369914243,0.014058809114395185,8,64,385,3,3.6821473269981833,3.3395816455986527,0.6908918288741401,1.3708629299265983e-06,COMPLETE
44,0.0,2025-09-25 12:45:22.851693,2025-09-25 12:45:22.893415,0 days 00:00:00.041722,0.9733663605157054,0.07355637520537885,3,90,362,3,7.244395169407619,6.875954854741924,0.8758173189075762,1.6750223788239137e-06,COMPLETE
45,0.0,2025-09-25 12:45:22.909262,2025-09-25 12:45:22.951697,0 days 00:00:00.042435,0.9298992147545384,0.010405770807150432,10,73,323,2,5.814093952920381,2.1789307848037036,0.6623162811153909,0.0002383755269264947,COMPLETE
