number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_iter,params_n_estimators,params_n_states,params_reg_alpha,params_reg_lambda,params_subsample,params_tol,state
0,0.0,2025-09-25 13:36:25.282653,2025-09-25 13:36:26.133095,0 days 00:00:00.850442,0.9464704583099741,0.01700037298921102,4,97,319,3,6.011150117432088,7.10991852018085,0.6232334448672797,0.0008471801418819979,COMPLETE
1,0.5022104332449161,2025-09-25 13:36:26.159784,2025-09-25 13:36:37.108062,0 days 00:00:10.948278,0.8099025726528951,0.01855998084649059,4,98,145,2,4.319450186421157,2.983168487960615,0.7216968971838151,0.002136832907235877,COMPLETE
2,0.0,2025-09-25 13:36:37.124804,2025-09-25 13:36:37.943718,0 days 00:00:00.818914,0.8056937753654446,0.04717052037625178,10,31,215,5,5.924145688620425,0.5598590859279775,0.6798695128633439,1.4742753159914662e-05,COMPLETE
3,0.0,2025-09-25 13:36:37.964854,2025-09-25 13:36:38.768891,0 days 00:00:00.804037,0.6390688456025535,0.26690431824362526,11,33,477,5,6.842330265121569,4.457509688022053,0.7218455076693483,1.8205657658407268e-06,COMPLETE
4,0.5022104332449161,2025-09-25 13:36:38.787908,2025-09-25 13:38:12.503104,0 days 00:01:33.715196,0.8080272084711243,0.024112898115291985,9,60,460,2,5.4671027934327965,1.9300591097027178,0.7246844304357644,1.3726318898045876e-06,COMPLETE
