fold,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc
1,xgb,0.8820697954271961,0.6573552453664097,0.8907098956616996,0.6560335614334126,0.6701408518017834,0.8919798928410575
1,rf,0.6173285198555957,0.5267016108807413,0.7249204799579152,0.642367520352196,0.6194635615091557,0.8334834796441349
1,et,0.25872442839951865,0.26461884625785853,0.357589974870805,0.5021984766358507,0.41262340748023435,0.7324268587716501
1,gb,0.9025270758122743,0.6616251038433507,0.9001093268021705,0.666737010159931,0.6584316496661341,0.8877310279060365
1,lr,0.2575210589651023,0.23964110133042657,0.33545852949387267,0.5124259099871201,0.29280754577854246,0.502235822268119
1,voting_hard,0.7328519855595668,0.573479534263848,0.8039702000911034,0.630280464162367,0.5944099654527331,0.0
1,voting_soft,0.8471720818291215,0.6234492215858675,0.8715862887219705,0.6365277777777777,0.6331455764477764,0.8091425631264344
1,bagging_xgb,0.8724428399518652,0.6493596239634413,0.8835994508070276,0.6491140441399371,0.6636335395245313,0.88812176587491
1,bagging_rf,0.8327316486161251,0.620636463745599,0.8642070398737813,0.637789420645054,0.6364818456160474,0.8306615936752527
1,stacking,0.8989169675090253,0.6105427189466738,0.8894293708026396,0.60639293304152,0.6165560607922658,0.8417843730901563
2,xgb,0.8965102286401926,0.667608112317902,0.8905250832188234,0.6754856785997604,0.6639747180923651,0.894913832133781
2,rf,0.29121540312876054,0.3031911548144668,0.3758494705271064,0.6252244268214661,0.4521683545212958,0.7965560472412485
2,et,0.08062575210589651,0.07896461028604464,0.0751485043431932,0.44108387799564275,0.30511024922789626,0.6713026501176446
2,gb,0.825511432009627,0.6167044725287991,0.820818279746222,0.6208184196484018,0.6186202686202686,0.8999295468342989
2,lr,0.7328519855595668,0.576947030256663,0.7679243994014127,0.5949040588835942,0.5925978596566832,0.8184794344496454
2,voting_hard,0.7087845968712395,0.5937856180758435,0.7804193113093111,0.6556550050085136,0.6374150685915391,0.0
2,voting_soft,0.8784596871239471,0.6761782534951926,0.8851339485343643,0.6741041473473111,0.6812131006248654,0.8676162246113441
2,bagging_xgb,0.8808664259927798,0.6669982039706811,0.8837260660123576,0.669070256738042,0.6667686561804209,0.9025354439661392
2,bagging_rf,0.6425992779783394,0.5638576200038732,0.7303368120744215,0.6567672450956282,0.646500754147813,0.8177847432921928
2,stacking,0.8953068592057761,0.6287723664676825,0.8793547340205403,0.6335953026196929,0.635501687854629,0.8270258988969106
3,xgb,0.901323706377858,0.6562917519911149,0.8945645805680025,0.6659112700589253,0.6537692446089393,0.9172752959938438
3,rf,0.8628158844765343,0.658216786134617,0.8786150421222967,0.6585139801151094,0.6729420298546677,0.8640835454895427
3,et,0.7388688327316486,0.5715261432951994,0.7623213264494503,0.5848391326711728,0.5971950206046898,0.7898801381340667
3,gb,0.8989169675090253,0.6736869129829516,0.8957876581177702,0.6790855730614767,0.6705785591281774,0.9141958129482792
3,lr,0.4500601684717208,0.28972619810581784,0.414115804963147,0.5147468002225932,0.3160116859862407,0.5505109412178426
3,voting_hard,0.8977135980746089,0.6528409413655315,0.8923392665358695,0.6584505213260998,0.6512749776532644,0.0
3,voting_soft,0.8892900120336944,0.6357516694958112,0.8837422482755817,0.6391737836114101,0.6362608271005218,0.8306177079199223
3,bagging_xgb,0.8989169675090253,0.6731240253088489,0.8962154121786253,0.6773251191882723,0.6705534279749715,0.9238979841328954
3,bagging_rf,0.9001203369434416,0.6437006521217047,0.8919624707730351,0.6506884308001455,0.6436682345079291,0.8490210998336588
3,stacking,0.9001203369434416,0.6562093821322431,0.892394431317694,0.6690622298317696,0.6527954124222148,0.8615706863626166
