Dataset,Accuracy,Precision,Recall,F1-Score,ROC AUC
Training,1.0,1.0,1.0,1.0,1.0
Validation,0.7843137254901961,0.7802207719466496,0.7843137254901961,0.7783401522914972,0.8871644003990942
Test,0.7828054298642534,0.7798977341226402,0.7828054298642534,0.7768670872782434,0.9001673462767531
