fold,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc
1,0.8465703971119134,0.651467827274279,0.8723298045587553,0.6567276827204626,0.7049812868400968,0.9191843359852427
2,0.8357400722021661,0.6291609975259426,0.8746663983543618,0.6503090003870847,0.6616699330826138,0.8843975023383157
3,0.8140794223826715,0.6833439886789368,0.8473650920251392,0.6937850599557409,0.7247562735367614,0.8917172092323137
4,0.8447653429602888,0.649138822102872,0.8953042191564935,0.674608262108262,0.8486282225151057,0.9573324657857301
5,0.9115523465703971,0.7090660761819793,0.8961747092645143,0.847484306765952,0.6906529374201789,0.902098820825651
