Date,Portfolio_Value,Daily_Return
2021-09-09,1000000.0,0.0
2021-09-10,1000000.0,0.0
2021-09-13,1000000.0,0.0
2021-09-14,1000000.0,0.0
2021-09-15,1000000.0,0.0
2021-09-16,1000000.0,0.0
2021-09-17,1000000.0,0.0
2021-09-20,1000000.0,0.0
2021-09-21,1000000.0,0.0
2021-09-22,1005185.032516144,0.005185032516143995
2021-09-23,1006334.2311641441,0.0011432707519762886
2021-09-24,1020351.469023393,0.013929008300784362
2021-09-27,1031811.183169984,0.011231143870022997
2021-09-28,1022494.5422052459,-0.009029404911192196
2021-09-29,1025025.026914173,0.002474814881133325
2021-09-30,1021093.3046351,-0.0038357329585497757
2021-10-01,1020918.777826693,-0.0001709215089499283
2021-10-04,1025176.4376049581,0.004170419695216809
2021-10-05,1024544.3320794861,-0.0006165821826228379
2021-10-06,1025996.290015411,0.0014171743383499802
2021-10-07,1033302.083455673,0.00712068212269279
2021-10-08,1027843.343430605,-0.005282811398978571
2021-10-11,1032178.1968478679,0.004217426171963634
2021-10-12,1041436.484470468,0.00896966013317635
2021-10-13,1045036.140956071,0.0034564340113676373
2021-10-14,1049895.374427343,0.004649823370535655
2021-10-15,1066469.061875151,0.015786037210467674
2021-10-18,1084624.307180435,0.01702369618989419
2021-10-19,1080713.691350728,-0.0036055026646718558
2021-10-20,1081738.350892016,0.0009481322847009199
2021-10-21,1100609.980823968,0.01744565117469521
2021-10-22,1111100.090950267,0.009531178445651989
2021-10-25,1188130.340530251,0.0693279122262549
2021-10-26,1183832.563646259,-0.0036172604447369805
2021-10-27,1196818.520393272,0.010969420123919882
2021-10-28,1222987.4665769609,0.021865425490817048
2021-10-29,1247653.3285983219,0.020168532135818706
2021-11-01,1310754.746223037,0.050576082456820215
2021-11-02,1286344.6401217568,-0.01862293931921144
2021-11-03,1314238.7090248158,0.021684755417038737
2021-11-04,1324934.4375592268,0.008138345386544898
2021-11-05,1319727.8835523028,-0.0039296691665101635
2021-11-08,1280348.9712360199,-0.029838660535296935
2021-11-09,1187624.6271314109,-0.07242114938015298
2021-11-10,1217164.329093414,0.024872928101325353
2021-11-11,1214225.932144782,-0.002414133308376254
2021-11-12,1194240.506237464,-0.01645939637610616
2021-11-15,1180941.673639803,-0.01113580767709843
2021-11-16,1208360.151346471,0.02321746985366424
2021-11-17,1231090.3403024918,0.018810773369754674
2021-11-18,1235979.668133861,0.003971542681561191
2021-11-19,1262923.8240252268,0.02179983747794756
2021-11-22,1276046.067329281,0.010390368013037055
2021-11-23,1244395.1225876699,-0.024803920134212287
2021-11-24,1248994.7045050298,0.0036962391075556766
2021-11-26,1226461.969834396,-0.01804069672141928
2021-11-29,1262850.837817096,0.029669789098812016
2021-11-30,1267983.7004148108,0.004064504250230527
2021-12-01,1235147.058177865,-0.02589673844088325
2021-12-02,1228287.519079898,-0.005553621370467887
2021-12-03,1182377.886310593,-0.0373769431473957
2021-12-06,1178445.42910726,-0.0033258886595076698
2021-12-07,1206608.197357941,0.02389823708002825
2021-12-08,1217938.0719289589,0.009389853803269732
2021-12-09,1175059.706505646,-0.03520570249963739
2021-12-10,1183761.9423629818,0.007405781858705884
2021-12-13,1150482.116186649,-0.028113613882450705
2021-12-14,1145284.3691259641,-0.00451788601279024
2021-12-15,1156760.806894615,0.010020601064702594
2021-12-16,1124560.3995699459,-0.027836703260298745
2021-12-17,1128262.442026918,0.00329199077113862
2021-12-20,1106860.466115555,-0.018968969553674442
2021-12-21,1132155.0909405272,0.022852586752639015
2021-12-22,1178236.467839182,0.040702353650481804
2021-12-23,1216291.176947518,0.03229802348430644
2021-12-27,1233920.764721876,0.014494545474384113
2021-12-28,1230348.202798246,-0.00289529281439338
