Metric,Training,Validation,Test
Accuracy,0.9159902597402597,0.6347402597402597,0.45081967213114754
Precision,0.9171811406955189,0.6463935137400678,0.42116682738669237
Recall,0.9159902597402597,0.6347402597402597,0.45081967213114754
F1-Score,0.9154589245841956,0.625630219150458,0.40602855631940776
ROC AUC,0.0,0.7025534077267271,0.5641265973233187
